Date,Close/Last,Volume,Open,High,Low
09/21/2021,$212.46,20468810,$214.165,$214.25,$209.5
09/20/2021,$211.13,34944050,$211.46,$214.33,$206.62
09/17/2021,$219,29450280,$223,$223.21,$218.3
09/16/2021,$222.42,15603340,$221.835,$222.77,$219.27
09/15/2021,$223.41,16653800,$223.09,$223.6699,$219.66
09/14/2021,$222.42,19975460,$222.75,$224.1,$220.86
09/13/2021,$221.52,29749990,$226.84,$229.64,$218.58
09/10/2021,$224.78,24837570,$223.483,$226.26,$222.7
09/09/2021,$221.77,19685600,$223.12,$225.38,$221.31
09/08/2021,$223.39,25443420,$225.13,$226.1,$219.77
09/07/2021,$226.62,19810720,$228.33,$228.99,$225.224
09/03/2021,$228.43,28083200,$223.25,$229.86,$222
09/02/2021,$223.96,18810960,$225.18,$225.9299,$222.945
09/01/2021,$224.41,20176700,$224.85,$226.97,$223.565
08/31/2021,$223.85,25984970,$226.95,$226.95,$221.2
08/30/2021,$226.88,26257990,$228.3,$230.43,$225.51
08/27/2021,$226.36,30472220,$221.84,$227.22,$221.67
08/26/2021,$220.68,23794040,$222,$223.4,$217.9
08/25/2021,$222.13,34770100,$217.37,$224.7,$217.22
08/24/2021,$217.93,29729890,$217.53,$219.59,$215.35
08/23/2021,$219.58,57580660,$209.71,$219.97,$209.5
08/20/2021,$208.16,67574130,$199.91,$208.6506,$199.33
08/19/2021,$197.98,76655480,$194.94,$204.95,$187.62
08/18/2021,$190.4,28591350,$195,$196.3365,$190
08/17/2021,$194.58,20458490,$196.85,$197.7,$192.67
08/16/2021,$199.5,21115280,$201.35,$202.87,$194.53
08/13/2021,$201.88,18306290,$199.05,$202.1381,$198.51
08/12/2021,$199.05,15186160,$198.7,$200.2899,$196.2
08/11/2021,$196.99,18592480,$200.43,$200.49,$194.3
08/10/2021,$199.36,17923780,$203.22,$204.3,$198.3454
08/09/2021,$202.95,14644310,$204.46,$205.0799,$201.43
08/06/2021,$203.66,17849660,$205.24,$205.7,$202.1
08/05/2021,$206.37,21143540,$205,$207.33,$203.42
08/04/2021,$202.74,23130940,$199.9,$203.18,$198.28
08/03/2021,$198.15,30181070,$197.4,$202.22,$192.2
08/02/2021,$197.5,21744400,$197,$199.61,$193.61
07/30/2021,$194.99,18349750,$194.18,$196.3,$192.63
07/29/2021,$196.62,19078090,$195.19,$198.53,$193.2803
07/28/2021,$195.03,20219120,$193.192,$196.46,$189.95
07/27/2021,$192.08,24886260,$192.65,$196.22,$187.41
07/26/2021,$192.94,20394320,$193.11,$194.42,$189.14
07/23/2021,$195.58,19567200,$196.564,$197,$192.5
07/22/2021,$195.94,32382600,$196.42,$198.87,$192.76
07/21/2021,$194.1,37101740,$188.82,$195.27,$187.42
07/20/2021,$186.12,43468650,$187.3,$188.38,$181.64
07/19/2021,$187.7975,74905880,$179.1525,$190.42,$178.655
07/16/2021,$181.61,68822280,$190.305,$191.5711,$180.73
07/15/2021,$189.6625,55056440,$198.1175,$198.47,$188.585
07/14/2021,$198.415,38009920,$203.5775,$204.1775,$197.5275
07/13/2021,$202.5,29070632,$204.005,$204.6125,$201.14
07/12/2021,$205.125,32198476,$202.4,$205.3275,$201.8775
07/09/2021,$200.5025,29662268,$199.625,$200.8013,$197.5425
07/08/2021,$199.0275,50329960,$198.565,$201.33,$197.0075
07/07/2021,$203.7175,41842720,$208.535,$208.75,$203.3205
07/06/2021,$206.985,44670760,$207.375,$208.42,$203.5025
07/02/2021,$204.87,34339668,$204.4013,$205.0525,$202.8775
07/01/2021,$202.12,48013480,$201.25,$204.56,$200.19
06/30/2021,$200.025,32656616,$199.9913,$201.625,$198.6375
06/29/2021,$200.2675,36763384,$198.825,$200.9875,$196.5687
